"experiment_abbreviated"	"Genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"threshold"	"SGD_name"
"F60_P8"	"YOR001W"	-2.48254073156863	8.5315483388564	-13.5449475266163	1.30875134324025e-09	4.51194587393164e-08	12.4552291910717	"TRUE"	"S000005527"
"F60_P8"	"YOR004W"	-2.13583027123529	8.45052272036332	-4.38573972927249	0.000578579591700573	0.00210372805061599	-0.930524488214982	"TRUE"	"S000005530"
"F60_P8"	"YOR006C"	-2.8918790815098	7.64405694213149	-11.5707810647265	1.06359974447852e-08	2.14717982571289e-07	10.3149743265892	"TRUE"	"S000005532"
"F60_P8"	"YOR007C"	2.02740817094118	9.28244305543253	11.380040028953	1.32250150389498e-08	2.54050744262425e-07	10.0913312772914	"TRUE"	"S000005533"
"F60_P8"	"YOR009W"	4.55728208729412	8.43015663083045	10.565897715489	3.46915562947094e-08	5.37239399446016e-07	9.09940694914121	"TRUE"	"S000005535"
"F60_P8"	"YOR011W-A"	-3.25953066882353	4.70455602330277	-15.604937194899	1.9141032506574e-10	1.14985764752993e-08	14.3975480291533	"TRUE"	"S000028581"
"F60_P8"	"YOR012W"	-2.07967747470588	7.39330842202422	-4.95901803955253	0.00019127170707867	0.000796142289362271	0.19985464610032	"TRUE"	"S000005538"
"F60_P8"	"YOR014W"	2.22095221503921	7.56813179438062	7.1324714981326	4.24401554321819e-06	2.92057447375798e-05	4.12820445248988	"TRUE"	"S000005540"
"F60_P8"	"YOR016C"	-3.03067587296079	9.23767936742906	-11.4207277364746	1.26213275807942e-08	2.44587074921802e-07	10.1393071051122	"TRUE"	"S000005542"
"F60_P8"	"YOR021C"	2.71200661896078	9.02434933049135	14.7662781681267	4.06824587414683e-10	1.90669902445146e-08	13.638671261213	"TRUE"	"S000005547"
"F60_P8"	"YOR026W"	-2.25103645305882	7.76263044691695	-13.8560487675534	9.63659045005402e-10	3.648056660736e-08	12.7660464731702	"TRUE"	"S000005552"
"F60_P8"	"YOR040W"	2.78620965142157	7.06060330091004	9.87821214229627	8.2085092182166e-08	1.06500401917813e-06	8.21124954198999	"TRUE"	"S000005566"
"F60_P8"	"YOR042W"	2.25411353092157	7.97343363853287	14.1915438072611	6.97336130799193e-10	2.84251306343778e-08	13.0939127381076	"TRUE"	"S000005568"
"F60_P8"	"YOR043W"	2.56042780371569	7.00104332780796	7.74106783975018	1.63773953479919e-06	1.30418494840783e-05	5.11437527073225	"TRUE"	"S000005569"
"F60_P8"	"YOR044W"	2.14536242321569	8.57343702888927	7.2126265420976	3.73348841377834e-06	2.62355239327528e-05	4.26092109708364	"TRUE"	"S000005570"
"F60_P8"	"YOR045W"	2.55020023927451	9.41451191436159	11.0567499662303	1.92639184132684e-08	3.32169899511771e-07	9.70483184426643	"TRUE"	"S000005571"
"F60_P8"	"YOR047C"	-4.51003736492157	7.80530559632872	-14.873884926476	3.6853928220027e-10	1.78222246514939e-08	13.7383765801837	"TRUE"	"S000005573"
"F60_P8"	"YOR049C"	-2.03236063529412	9.87864901505882	-8.44305980420421	5.78520301903577e-07	5.42279955238075e-06	6.19204966815689	"TRUE"	"S000005575"
"F60_P8"	"YOR052C"	2.7023402547647	9.89684505433218	12.2357755369087	5.08894260577097e-09	1.21392960499546e-07	11.0703059072634	"TRUE"	"S000005578"
"F60_P8"	"YOR054C"	2.38904784319608	7.33176625846886	10.3705055152083	4.41096139292473e-08	6.45505065465285e-07	8.85192076695479	"TRUE"	"S000005580"
"F60_P8"	"YOR060C"	-2.78103970756863	6.68505739137889	-12.7996635625102	2.79469017166723e-09	7.75638503878175e-08	11.6826666834161	"TRUE"	"S000005586"
"F60_P8"	"YOR062C"	2.50228137513726	10.4172145536125	6.02392808201973	2.73086581063629e-05	0.000144617627473168	2.20281823394966	"TRUE"	"S000005588"
"F60_P8"	"YOR068C"	-4.45623221477451	5.88360651278028	-15.5756506432087	1.96395966195844e-10	1.15439595820861e-08	14.3717344977832	"TRUE"	"S000005594"
"F60_P8"	"YOR071C"	-2.45105844996078	6.60090713229412	-10.0514480271165	6.57950087961851e-08	8.88316114952555e-07	8.43954970670508	"TRUE"	"S000005597"
"F60_P8"	"YOR072W-B"	-3.93414743903921	7.20481804033478	-17.395134869926	4.2937394593828e-11	4.80853622193406e-09	15.8889286151094	"TRUE"	"S000028516"
"F60_P8"	"YOR073W"	-3.64334946115686	7.27533713408132	-14.3554681072463	5.96835696677393e-10	2.4803652253714e-08	13.2514253434526	"TRUE"	"S000005599"
"F60_P8"	"YOR074C"	-2.59401194379412	8.05576856202595	-10.4836636331112	3.83653023994327e-08	5.80085253456937e-07	8.9957082630899	"TRUE"	"S000005600"
"F60_P8"	"YOR079C"	-3.40031620593137	8.18047998877682	-9.9659287828047	7.33601247965529e-08	9.7530577302415e-07	8.327240353788	"TRUE"	"S000005605"
"F60_P8"	"YOR081C"	-2.90967710206863	8.59143716197578	-8.36650904922385	6.46172459379717e-07	5.94177078248989e-06	6.07754459436179	"TRUE"	"S000005607"
"F60_P8"	"YOR087W"	-2.25521891705882	9.14840914160554	-6.47340448157906	1.25795180081778e-05	7.50187735924906e-05	3.00376187856187	"TRUE"	"S000005613"
"F60_P8"	"YOR092W"	-2.99879741960785	8.51025272654325	-10.460509168918	3.94726052414318e-08	5.92311773150343e-07	8.96638983804674	"TRUE"	"S000005618"
"F60_P8"	"YOR104W"	-2.0342616482353	8.10990255382699	-13.6305486683219	1.20231502005852e-09	4.23557268159026e-08	12.5414170461379	"TRUE"	"S000005630"
"F60_P8"	"YOR111W"	3.06031149484314	5.97889991276817	9.30392586893934	1.7462675294903e-07	2.01502605707672e-06	7.43138084469556	"TRUE"	"S000005637"
"F60_P8"	"YOR117W"	2.25349196337255	9.07056894900346	4.88969197145861	0.000218227038584172	0.000893311836666798	0.0648056613381804	"TRUE"	"S000005643"
"F60_P8"	"YOR119C"	2.53265501672549	6.78408872305536	4.85091277030146	0.000234988992846997	0.000952762155068293	-0.0109540413944398	"TRUE"	"S000005645"
"F60_P8"	"YOR122C"	5.34634375366667	9.10991767191003	13.8316598994334	9.8684920784967e-10	3.67101004276666e-08	12.741918963948	"TRUE"	"S000005648"
"F60_P8"	"YOR124C"	2.3187658032549	8.30631881402422	5.01134608944013	0.00017322156640934	0.000730731262898086	0.301453319601206	"TRUE"	"S000005650"
